Series_reference,Period,Data_value,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2
ECTA.S19A1,2001.03,2462.5,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS total industries
ECTA.S19A2,2001.03,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries
ECTA.S19A9,2001.03,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total
ECTA.S19AW,2001.03,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit
ECTA.S19AX,2001.03,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit
ECTA.S1GA1,2001.03,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables
ECTA.S1GA2,2001.03,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Durables
ECTA.S1GA3,2001.03,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Hospitality
ECTA.S1GA4,2001.03,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Services
ECTA.S1GA5,2001.03,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Apparel
ECTA.S1GA6,2001.03,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Motor vehicles excl. fuel
ECTA.S1GA7,2001.03,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Fuel
ECTA.S1GA8,2001.03,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Non-retail excl. services
ECTA.S29A1,2001.03,1600.4278688524591,C,Number,0,Electronic Card Transactions (ANZSIC06) - ECT,Number of electronic card transactions A/S/T by division,Actual,RTS total industries
ECTA.S29A2,2001.03,1600.4278688524591,C,Number,0,Electronic Card Transactions (ANZSIC06) - ECT,Number of electronic card transactions A/S/T by division,Actual,RTS core industries
ECTA.S29A9,2001.03,1600.4278688524591,C,Number,0,Electronic Card Transactions (ANZSIC06) - ECT,Number of electronic card transactions A/S/T by division,Actual,Total
ECTA.S29AW,2001.03,1600.4278688524591,C,Number,0,Electronic Card Transactions (ANZSIC06) - ECT,Number of electronic card transactions A/S/T by division,Actual,Credit
ECTA.S29AX,2001.03,1600.4278688524591,C,Number,0,Electronic Card Transactions (ANZSIC06) - ECT,Number of electronic card transactions A/S/T by division,Actual,Debit
ECTA.S4A1V,2000.03,1600.4278688524591,C,Dollars,0,Electronic Card Transactions (ANZSIC06) - ECT,Electronic card transactions by mean and proportion,Actual,Mean transaction value
ECTA.S4A2V,2000.03,1600.4278688524591,C,Dollars,0,Electronic Card Transactions (ANZSIC06) - ECT,Electronic card transactions by mean and proportion,Actual,Mean value of transaction per person
ECTA.S4A3N,2000.03,1600.4278688524591,C,Number,0,Electronic Card Transactions (ANZSIC06) - ECT,Electronic card transactions by mean and proportion,Actual,Mean number of transactions per person
ECTA.S4ACP,2000.03,1600.4278688524591,C,Percent,0,Electronic Card Transactions (ANZSIC06) - ECT,Electronic card transactions by mean and proportion,Actual,ECT core retail as a proportion of core Retail Trade Survey
ECTA.S4ARP,2000.03,1600.4278688524591,C,Percent,0,Electronic Card Transactions (ANZSIC06) - ECT,Electronic card transactions by mean and proportion,Actual,ECT retail as a proportion of total Retail Trade Survey
ECTA.S4AWP,2000.03,1600.4278688524591,C,Percent,0,Electronic Card Transactions (ANZSIC06) - ECT,Electronic card transactions by mean and proportion,Actual,Credit card usage as a proportion of total ECT value
ECTA.S4AXP,2000.03,1600.4278688524591,C,Percent,0,Electronic Card Transactions (ANZSIC06) - ECT,Electronic card transactions by mean and proportion,Actual,Debit card usage as a proportion of total ECT value
ECTM.S19A1,2000.01,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS total industries
ECTM.S19A1AC,2003.1,7.6,F,Percent,0,Electronic Card Transactions (ANZSIC06) - ECT,"Totals - Electronic card transactions by division, percentage changes",Actual,RTS total industries
ECTM.S19A2,2000.01,1600.4278688524591,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries
